date_utc,ATM,OG,PSG,SANTOS,VATRENI
2020-06-30,,,,,
2020-07-31,108.80104682459192,160.0263636052869,136.24112163076896,,
2020-08-31,93.06199032635548,98.76824278711054,130.16738070213262,,
2020-09-30,132.08465711026872,148.42521180765397,152.4937225732852,,
2020-10-31,91.50181611983012,92.97556024015219,94.82306938051285,,
2020-11-30,73.53302152694964,59.53197238254707,136.75897441245937,,
2020-12-31,155.02218640855062,216.8897263070447,205.82802498414964,,
2021-01-31,383.948871754894,511.2318210539299,277.821262265992,,
2021-02-28,150.94385979105468,204.49709215087427,109.48575642278615,,
2021-03-31,157.04217563525086,189.96952867778512,197.59931673151672,,
2021-04-30,104.30966097188333,181.84008023666922,183.42981078937325,,
2021-05-31,263.5632133599712,212.643784209174,242.15888693990414,,
2021-06-30,324.29044599697386,231.1723729776249,267.2998548217112,,
2021-07-31,131.8133357204215,108.7926261651531,95.5196052303627,,
2021-08-31,168.2281298628059,122.1456141075933,184.41344041364286,,
2021-09-30,103.53548566613914,161.19459084330876,108.91117781324718,,
2021-10-31,73.53606518115892,122.4851443364582,69.35925547343359,,
2021-11-30,57.26689580021947,87.42749582608785,67.38715930337668,,
2021-12-31,76.32429770335712,113.84534428679216,78.43860198790146,224.35052889470398,
2022-01-31,77.65735412114839,105.12182072973059,67.90958811553725,138.04162928218577,
2022-02-28,74.17880221125645,94.26572819445089,70.9247531301691,107.56218901370481,
2022-03-31,82.16132914746012,132.74357600534424,79.22966815907917,223.6368817868887,
2022-04-30,87.00214556717634,108.49950003383736,58.55359381572164,123.92084493476321,
2022-05-31,158.9605130074342,184.6876579324843,187.0696090287547,241.63905916760473,
2022-06-30,153.79387741472203,238.09742342759358,166.9925171991634,232.40770560547153,
2022-07-31,72.84262030169614,132.34534722493405,64.33317385416022,62.92635487430247,
2022-08-31,82.67576580072303,142.06609979584664,88.91469945179813,177.90017983264391,
2022-09-30,84.78156313300236,118.6020475097204,76.70618703068342,247.45362892514504,
2022-10-31,61.02575199155314,71.96766305387916,54.22139114896775,153.80649166709009,
2022-11-30,116.06748213847757,131.40464845577574,110.04549503473429,173.54085075830264,
2022-12-31,87.18146377381592,100.47323036453429,100.9072716563898,127.86423319204856,126.0821318122985
2023-01-31,111.03247161430542,57.08331217872366,67.13985902691216,88.6013555221827,149.9766455674608
2023-02-28,110.36780902684596,65.90025778221475,55.29278671215792,92.5225381127689,129.09551537417212
2023-03-31,59.832793046114624,56.457934501629786,49.302388260295814,77.78190604890048,256.883777690872
2023-04-30,77.20129214955752,332.91118753961587,42.43967260822296,80.81473003828594,207.23698260970923
2023-05-31,50.43918970171539,223.5625908853995,42.782618750151954,58.984485878509815,107.05427220648822
2023-06-30,69.8255175950996,141.74501741025873,55.978391531955445,74.94540615707045,129.5332542576044
2023-07-31,63.53980745413672,76.32286029652822,63.86502293423156,50.50054609906667,101.49212194035984
2023-08-31,80.14459473952799,110.75327767714423,54.383281108012376,43.92086984728884,52.349324139977774
2023-09-30,37.45348666694528,172.78980183341685,31.650461556739184,41.42086220379177,46.79496009850368
2023-10-31,24.094514166234724,47.987245631011845,21.54126288171187,22.63305151832251,66.29612674094744
2023-11-30,28.003919828048495,41.28281219843029,29.712997866649324,39.773913774442,96.1121054057816
2023-12-31,40.881638285549855,88.05670351406606,37.03300504181999,51.575549335533864,83.54620326744316
2024-01-31,46.02961755546176,77.1406888488953,46.17924597234915,92.96950639950857,112.98543719519854
2024-02-29,30.16763815057374,47.19713845439952,35.072997829151525,114.87537096745339,180.5739882811271
2024-03-31,52.029917192850064,75.09769689604524,61.76195821312785,107.27743227825626,173.2274102959671
2024-04-30,99.65532476361922,98.59578129439392,88.56204266032447,121.91651922195153,266.4737302794408
2024-05-31,70.07483474290922,68.7615939375747,88.97277004775496,101.73188033661289,131.50346155594613
2024-06-30,101.91025476257305,66.83201979322631,71.57660245948053,107.2341620798068,140.59917475828846
2024-07-31,77.35059663404988,88.0766817868269,70.4477649337546,93.31245754854328,295.08698359453615
2024-08-31,59.020461681035776,77.83941442448898,60.29063865474786,78.16200638156839,408.4313653718306
2024-09-30,55.046055683757054,74.40126309022205,48.45672873678291,54.51612106105968,343.8923777244553
2024-10-31,83.3204940634061,344.2640096317295,110.97009704565865,155.2161703857532,174.86704172144007
2024-11-30,68.71890646144081,153.56533797576063,82.72059672621761,177.5186146562325,103.21352781180362
2024-12-31,64.46912377295648,85.90830313864367,66.38060507523245,96.07928632758897,203.18631081419224
2025-01-31,62.23026162905365,69.06075858559502,55.45795459279886,68.91217875680394,117.67520443677701
2025-02-28,73.75322754628921,77.59414762348295,57.53739259479759,79.46044270879072,216.0050866021558
2025-03-31,66.26404084522903,79.16220829260153,65.81676247214112,73.65101795797287,217.36749703078732
2025-04-30,58.279676764233145,65.49246093228638,59.54837840737083,61.504430482687575,69.08068206326591
2025-05-31,65.11323429224326,82.05627227140383,67.31115079216043,52.24376062566283,79.46775811998793
2025-06-30,75.43112476259792,123.78208621792778,95.25044164716549,59.71716034126248,136.5031309799073
2025-07-31,65.821854005889,60.82386506259223,62.88593076578708,65.04875546714449,146.91168485927312
2025-08-31,151.48316251064188,130.27101140231989,68.462157680595,109.84717315984517,372.58469716093384
2025-09-30,67.4734019259901,157.83803640438015,48.970477704461125,68.38775309346809,114.68770890473303
2025-10-31,91.57158199575981,152.28260072771516,93.24226299799685,121.5271686361818,144.57629325801562
2025-11-30,61.87881046705697,125.3126268728367,73.5909192451788,92.73200376629528,167.8635491303471
2025-12-31,41.48311723100114,57.71095507247816,51.50563930450598,107.66028121275691,523.3109631836007
2026-01-31,36.942158558087385,187.77585246959407,36.282233883877275,83.87312813298891,141.1488535689128
2026-02-28,139.12053373429856,179.1925352705636,60.67826121266995,104.82685597821215,257.3106780456985
2026-03-31,96.53168168235885,124.63143688583695,50.636154883737845,80.81124644716407,111.51828178811228
2026-04-30,42.989288937739175,77.94931954580335,45.56467198344083,76.83484962945798,100.75337028608621
2026-05-31,50.74230026841427,90.85987540545372,95.65205315338811,73.1945799050471,143.77914473575078
2026-06-30,91.25129470406087,86.23811764732503,109.8977844272745,84.02087889938038,160.01179894686496
2026-07-31,158.0430594810981,63.251563549474376,38.69597412959088,72.26033116236856,76.78709886027454
2026-08-31,111.30548189741167,40.56475202290772,29.853655845528653,65.73266266982822,60.647894840394294
2026-09-30,79.01377294454319,56.37818569278105,26.876463111994997,74.7329404147425,65.69240707933844
