date_utc,ATM,OG,PSG,SANTOS,VATRENI
2020-06-30,86.98465367572251,156.20022502541914,71.0669407139159,,
2020-07-31,113.97154386384838,163.61001231462237,90.8310740941609,,
2020-08-31,127.68747050889615,172.97732833456882,128.69551785136696,,
2020-09-30,112.348888855952,147.19422063428405,127.15845720839889,,
2020-10-31,91.4044258169188,107.44313095223627,168.90261297943746,,
2020-11-30,93.01687162131222,105.96846504713176,138.0711777434439,,
2020-12-31,208.55752471390448,355.30944033281884,208.85783139218285,,
2021-01-31,96.4621625681268,184.07450194643943,133.35209483552987,,
2021-02-28,152.89847361899783,244.59647838257155,150.86044012938655,,
2021-03-31,242.43201588521092,584.1801661663851,298.6952055977299,,
2021-04-30,234.33402699875305,557.9078914854917,723.3753545774098,,
2021-05-31,322.0416814237404,324.6225608743381,273.34812700648587,,
2021-06-30,197.66805421872385,208.9616727632149,207.2775283516052,,
2021-07-31,322.1764030907672,232.5469849429436,414.01397476959073,,
2021-08-31,364.1535287232567,298.9619411328642,529.4100819129604,,
2021-09-30,316.0128757633952,392.0230413066462,406.53931659664346,,
2021-10-31,280.83096501196457,334.6611554680569,336.85417707840674,,
2021-11-30,205.8419871910444,264.475782930475,284.7783448633252,,
2021-12-31,164.0214063658974,239.6882759933728,249.7694448461512,33.50783661336488,
2022-01-31,122.79948527032045,171.16018731188805,236.38705825375465,25.705125509069905,
2022-02-28,127.13637261579704,172.10163310526977,267.6613890019537,31.67127105468601,
2022-03-31,180.7896968231569,218.67384378253348,230.2201908563619,57.980510944290174,
2022-04-30,99.75984590849856,152.78305655814404,156.30120742804093,33.66357854417525,
2022-05-31,84.29540789362784,134.4961207926728,123.32164852888324,40.068713203936056,
2022-06-30,70.3423246588655,179.71429265862162,98.7261470944878,33.53087299871972,
2022-07-31,111.33289060268812,250.857542301133,151.09589198799748,40.30488861291857,
2022-08-31,111.29178832726348,320.7441384017726,146.89453507247043,125.04541361077231,
2022-09-30,108.42911881632529,288.1869503485767,140.70394901497383,164.8241420588653,
2022-10-31,82.6563274608107,204.9685729013493,115.56905307822947,113.2199018677354,
2022-11-30,63.8996480645319,163.55893346863212,91.54762522435344,64.58914811994357,97.6370958900766
2022-12-31,53.20378189601832,125.10518318000818,89.89947009926985,41.09036549027221,49.81382697728962
2023-01-31,76.0408631389352,148.097702249444,106.06864943520728,55.09111414998794,62.88155990970944
2023-02-28,73.86016952808261,147.0589977760764,100.92000487620324,46.62317609989161,49.699719382940025
2023-03-31,67.22185893336277,141.47292150238394,90.01382116603394,41.98471551797518,38.77702479274247
2023-04-30,70.31912996791677,577.0302417149732,89.91371075756359,46.975559809253255,39.297985644094965
2023-05-31,62.06908699635058,280.09854229708213,65.8836052489521,39.811763993189984,44.9617242827858
